1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3	3	11	1	13	1	11	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3	11	1	9	1	9	1	11	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11	1	9	1	9	1	9	1	11	1	1	1	1	3	3	1	1	1	1	1	1	1	1	1	1
1	9	1	9	1	9	1	9	1	1	1	1	7	3	3	8	1	1	1	1	1	1	1	1	1
1	1	9	1	9	1	9	1	1	1	1	1	1	3	3	1	1	1	1	9	1	1	1	1	1
1	1	1	9	1	9	1	1	1	1	1	1	1	1	1	1	1	1	7	3	8	1	1	1	1
1	1	1	1	9	1	1	1	1	5	3	10	1	1	1	1	9	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	9	1	1	1	1	16	3	1	1	1	1	2	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	1
1	1	1	1	1	1	1	1	2	2	2	2	2	1	2	1	1	2	1	1	1	1	1	2	1
2	2	2	2	1	2	2	1	1	1	1	1	1	1	3	1	1	3	1	1	1	1	1	3	2
3	3	3	7	1	7	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
